Family_ID	NA
Family_Member	NA
C:ADMX:Admix_14_max	True
C:ADMX:Admix_80_Percent	False
N:CLIN:Gestational_Age_at_Delivery	False
B:CLIN:Preterm	False
N:CLIN:TermCategory	False
B:CLIN:1n2v4	False
B:CLIN:1v4	False
B:CLIN:ETPL	True
B:MRGE:History_of_Preterm_Birth	True
B:MRGE:Placenta_Related	True
B:MRGE:Prom_Related	True
B:CLIN:Preeclampsia/Eclampsia	True
B:CLIN:Incompetent_Shortened_Cervix	True
B:MRGE:Uterine_Related	True
B:MRGE:Strict_Infection_Related	False
N:QCTL:ORDER	False
C:QCTL:PL_VERSION	False
